,Unnamed: 0,url,input_text,Entity1,Relationship,Entity2,Qualifiers,Entity1_cleaned,Entity2_cleaned,Qualifiers_cleaned
32,0,https://migri.fi/en/positive-decision,It takes us about two weeks to manufacture and post a residence permit card.,['It'],instance of,"['residence', 'permit']","['of', ['us', 'about', 'two', 'weeks']]",It,residence  permit,of  us  about  two  weeks
33,0,https://migri.fi/en/automated-decision,The processing of the application also involves steps taken by authorities.,['also'],part of,[],"['applies to part', ['taken']]",also,,applies to part  taken
34,0,https://migri.fi/en/instructions-for-appealing,It is also impossible to appeal a decision made by the Finnish Immigration Service to grant a residence permit to a foreign national who arrives in Finland as a quota refugee.,['It'],instance of,"['residence', 'permit']","['of', ['Finland']]",It,residence  permit,of  Finland
35,0,https://migri.fi/en/instructions-for-appealing,It is also impossible to appeal a decision made by the Finnish Immigration Service to grant a residence permit to a foreign national who arrives in Finland as a quota refugee.,"['Finnish', 'Immigration', 'Service']",instance of,"['residence', 'permit']","['of', ['Finland']]",Finnish  Immigration  Service,residence  permit,of  Finland
36,0,https://migri.fi/en/administrative-complaint,State in your letter that you would like to file an administrative complaint.,['in'],subclass of,['you'],"['of', []]",in,you,of  
37,0,https://migri.fi/en/cancellation-of-a-permit,The instructions on this page do not apply to EU registrations or to those who hold a residence card for an EU citizen's family member.,"['EU', 'registrations']",subclass of,"['residence', 'card']","['of', ['EU']]",EU  registrations,residence  card,of  EU
38,0,https://migri.fi/en/cancellation-of-a-permit,We may initiate a process for withdrawing your residence permit after you have been unemployed for 3 months.,['We'],instance of,"['residence', 'permit']","['end time', ['3', 'months.']]",We,residence  permit,end time  3  months.
39,0,https://migri.fi/en/deportation-and-denial-of-admittance-or-stay,Deportation and denial of admittance or stay,[],subclass of,[],"['of', []]",,,of  
40,0,https://migri.fi/en/deportation-and-denial-of-admittance-or-stay,Deportation and denial of admittance or stay,[],subclass of,[],"['of', []]",,,of  
41,0,https://migri.fi/en/deportation-and-denial-of-admittance-or-stay,"The time limit is short, usually 30 days.",[],instance of,[],"['of', []]",,,of  
42,0,https://migri.fi/en/withdrawal-of-entry-ban,"An entry ban (a prohibition of entry) can be withdrawn, if your circumstances change or there is an important personal reason.","['An', 'entry']",subclass of,"['circumstances', 'change']","['of', ['personal']]",An  entry,circumstances  change,of  personal
43,0,https://migri.fi/en/withdrawal-of-entry-ban,"An entry ban (a prohibition of entry) can be withdrawn, if your circumstances change or there is an important personal reason.",['your'],subclass of,"['circumstances', 'change']","['of', ['personal']]",your,circumstances  change,of  personal
44,0,https://migri.fi/en/withdrawal-of-entry-ban,"You do not need to apply separately for the withdrawal of your entry ban, if you are applying for a residence permit and the entry ban imposed on you by Finland is still in force.","['entry', 'ban,']",subclass of,"['residence', 'permit']","['of', ['Finland']]",entry  ban ,residence  permit,of  Finland
45,0,https://migri.fi/en/work-in-finland,Check your residence permit card and the residence permit decision given to you to find out whether you have the right to work in Finland.,['card'],subclass of,"['residence', 'permit']","['of', ['Finland.']]",card,residence  permit,of  Finland.
46,0,https://migri.fi/en/work-in-finland,"For information about taxation, visit the website of the Finnish Tax Administration (vero.fi).","['of', 'the']",employer,['Tax'],"['position held', ['the', 'website']]",of  the,Tax,position held  the  website
47,0,https://migri.fi/en/certificate-of-the-right-to-work,Read more about right to work on our web page Work in Finland.,['our'],instance of,['page'],"['of', ['Finland.']]",our,page,of  Finland.
48,0,https://migri.fi/en/working-while-your-extended-permit-application-is-being-processed,Situations in which you are not allowed to continue working when your permit expires,[],significant event,"['in', 'which']","['point in time', ['continue', 'working', 'when', 'your', 'permit']]",,in  which,point in time  continue  working  when  your  permit
49,0,https://migri.fi/en/changing-jobs,You may also have more than one job in the same field of work.,[],part of,[],"['country', []]",,,country  
50,0,https://migri.fi/en/changing-jobs,Your right to work in the new field of work begins after you have been granted a new residence permit.,['of'],headquarters location,['after'],"['country', ['you']]",of,after,country  you
51,0,https://migri.fi/en/work-help-finland,The application provides information about your rights and responsibilities as an employee in Finland.,['application'],subclass of,['employee'],"['of', ['Finland.']]",application,employee,of  Finland.
52,0,https://migri.fi/en/work-help-finland,Please write ‘Accessibility feedback/Work Help Finland mobile application’ as the subject of your message and describe the issues as accurately as possible.,['Help'],instance of,['application’'],"['of', ['Finland']]",Help,application’,of  Finland
53,0,https://migri.fi/en/work-help-finland,Regional State Administrative Agency for Southern Finland Saavutettavuuden valvonnan yksikkö (supervisory unit for accessibility) www.saavutettavuusvaatimukset.fi saavutettavuus(at)avi.fi Tel.,['Saavutettavuuden'],instance of,"['Regional', 'State', 'Administrative', 'Agency']","['of', ['Finland']]",Saavutettavuuden,Regional  State  Administrative  Agency,of  Finland
54,0,https://migri.fi/en/work-help-finland,It does not require any permissions from your device nor collect personal data.,['It'],subclass of,['data.'],"['of', ['device']]",It,data.,of  device
55,0,https://migri.fi/en/for-employers,Instruct your employee to submit a residence permit application in Enter Finland.Your employee should first submit a residence permit application from their own Enter Finland account.,"['Enter', 'Finland.Your']",instance of,"['residence', 'permit']","['of', ['Enter', 'Finland']]",Enter  Finland.Your,residence  permit,of  Enter  Finland
56,0,https://migri.fi/en/for-employers,Instruct your employee to submit a residence permit application in Enter Finland.Your employee should first submit a residence permit application from their own Enter Finland account.,"['Enter', 'Finland.Your']",subclass of,['permit'],"['of', ['Enter', 'Finland']]",Enter  Finland.Your,permit,of  Enter  Finland
57,0,https://migri.fi/en/for-employers,Is your employee applying for a residence permit for an employed person?,['employee'],instance of,"['residence', 'permit']","['of', ['employed']]",employee,residence  permit,of  employed
58,0,https://migri.fi/en/role-and-obligations-of-employers,"As soon as your employee has submitted a residence permit application online in Enter Finland, you can log in to Enter Finland for Employers and supplement the application by filling in the employee's terms of employment.","['Enter', 'Finland,']",instance of,"['residence', 'permit']","['of', ['Finland']]",Enter  Finland ,residence  permit,of  Finland
59,0,https://migri.fi/en/role-and-obligations-of-employers,"Your employee can use the Finnish Immigration Service’s chatbot, Kamu, to track the status of the residence permit application.","['Kamu,']",instance of,"['chatbot,']","['of', ['Finnish', 'Immigration', 'Service’s']]",Kamu ,chatbot ,of  Finnish  Immigration  Service’s
60,0,https://migri.fi/en/role-and-obligations-of-employers,"Your employee can use the Finnish Immigration Service’s chatbot, Kamu, to track the status of the residence permit application.","['Kamu,']",instance of,"['residence', 'permit']","['of', ['Finnish', 'Immigration', 'Service’s']]",Kamu ,residence  permit,of  Finnish  Immigration  Service’s
61,0,https://migri.fi/en/role-and-obligations-of-employers,"Your employee can use the Finnish Immigration Service’s chatbot, Kamu, to track the status of the residence permit application.",['permit'],subclass of,"['chatbot,']","['of', ['Finnish']]",permit,chatbot ,of  Finnish
62,0,https://migri.fi/en/role-and-obligations-of-employers,Kamu will tell your employee the application's place in the application queue.,['Kamu'],subclass of,"['application', 'queue.']","['of', ['employee']]",Kamu,application  queue.,of  employee
63,0,https://migri.fi/en/role-and-obligations-of-employers,"In contrast, you may appeal against the decision of the Finnish Immigration Service only if the Finnish Immigration Service has issued a negative residence permit decision for reasons related to the employer.","['Finnish', 'Immigration', 'Service']",subclass of,"['residence', 'permit']","['of', ['Finnish', 'Immigration', 'Service']]",Finnish  Immigration  Service,residence  permit,of  Finnish  Immigration  Service
64,0,https://migri.fi/en/role-and-obligations-of-employers,You may appeal against the decision of the Finnish Immigration Service if the Finnish Immigration Service has issued a negative residence permit decision for reasons related to the employer.,"['Finnish', 'Immigration', 'Service']",subclass of,"['residence', 'permit']","['of', ['Finnish', 'Immigration', 'Service']]",Finnish  Immigration  Service,residence  permit,of  Finnish  Immigration  Service
65,0,https://migri.fi/en/role-and-obligations-of-employers,An employee who does not have these documents may still be residing legally in Finland.,"['who', 'does']",subclass of,"['have', 'these']","['of', ['may']]",who  does,have  these,of  may
66,0,https://migri.fi/en/role-and-obligations-of-employers,"Your employee may be, for instance, an asylum seeker or a seasonal worker who is working in Finland for up to three months with a visa or visa-free.",['seeker'],headquarters location,['seasonal'],"['country', ['worker']]",seeker,seasonal,country  worker
67,0,https://migri.fi/en/role-and-obligations-of-employers,"You must submit an employee announcement if you hire a person who comes from outside the EU/EEA countries and already has a valid right to work and a valid residence permit, such as a permanent residence permit or a permit granted on the basis of family ties.",['You'],subclass of,['if'],"['of', ['hire']]",You,if,of  hire
68,0,https://migri.fi/en/filling-in-the-terms-of-employment,"If you are going to employ several persons with the same terms of employment and if all of them are using a similar residence permit application, you can fill in the terms of employment for all employees in one go in Enter Finland.","['Enter', 'Finland.']",instance of,"['residence', 'permit']","['series ordinal', ['one']]",Enter  Finland.,residence  permit,series ordinal  one
69,0,https://migri.fi/en/filling-in-the-terms-of-employment,The terms of employment of a foreign employee must comply with the law and the collective agreements applicable in Finland,"['foreign', 'employee']",subclass of,['collective'],"['of', ['Finland']]",foreign  employee,collective,of  Finland
70,0,https://migri.fi/en/filling-in-the-terms-of-employment,"If no applicable collective agreement exists, the salary must correspond to the salary level of employees in the labour market doing similar work.",['salary'],subclass of,"['collective', 'agreement']","['of', ['labour', 'market']]",salary,collective  agreement,of  labour  market
71,0,https://migri.fi/en/filling-in-the-terms-of-employment,"If no applicable collective agreement exists, the salary must correspond to the salary level of employees in the labour market doing similar work.",['salary'],subclass of,['salary'],"['of', ['labour', 'market']]",salary,salary,of  labour  market
72,0,https://migri.fi/en/filling-in-the-terms-of-employment,"For more information about the taxable values of fringe benefits, see the website of the Finnish Tax Administration (in Finnish)","['fringe', 'benefits,']",instance of,['taxable'],"['of', ['Finnish']]",fringe  benefits ,taxable,of  Finnish
73,0,https://migri.fi/en/filling-in-the-terms-of-employment,"For more information about the taxable values of fringe benefits, see the website of the Finnish Tax Administration (in Finnish)","['fringe', 'benefits,']",instance of,['Tax'],"['of', ['Finnish']]",fringe  benefits ,Tax,of  Finnish
74,0,https://migri.fi/en/filling-in-the-terms-of-employment,"For more information about the taxable values of fringe benefits, see the website of the Finnish Tax Administration (in Finnish)","['fringe', 'benefits,']",instance of,"['Tax', 'Administration']","['of', ['Finnish)']]",fringe  benefits ,Tax  Administration,of  Finnish)
75,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,"Choose ‘Yes’, if some other party than the employer is paying the employee either partly or fully.",['some'],subclass of,[],"['of', ['is']]",some,,of  is
76,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,Attach the decision on salary payment to section 5.,[],subclass of,[],"['of', []]",,,of  
77,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,Does the employer have its domicile and business location in Finland?,"['business', 'location']",country,['Finland?'],"['start time', ['its']]",business  location,Finland?,start time  its
78,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,"If the employer’s domicile and business location are not in Finland, choose ‘No’.","['choose', '‘No’.']",instance of,['domicile'],"['of', ['Finland,']]",choose  ‘No’.,domicile,of  Finland 
79,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,Read more about the ISCO classification on the website of Statistics Finland (stat.fi).,['ISCO'],subclass of,['classification'],"['of', ['Finland']]",ISCO,classification,of  Finland
80,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,Read more about the ISCO classification on the website of Statistics Finland (stat.fi).,['ISCO'],subclass of,['Statistics'],"['of', ['Finland']]",ISCO,Statistics,of  Finland
81,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,Check the taxable values of fringe benefits on the Finnish Tax Administration’s website (vero.fi).,"['fringe', 'benefits']",instance of,['taxable'],"['of', ['Finnish']]",fringe  benefits,taxable,of  Finnish
82,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,"If there is an applicable collective agreement, its minimum terms and conditions must be complied with and the employee’s pay and other terms of work may not be less favourable as those specified in the collective agreement.","['with', 'and']",instance of,"['conditions', 'must']","['end time', ['work', 'may', 'not']]",with  and,conditions  must,end time  work  may  not
83,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,"When filling in the terms of employment, the employer must assure that they have verified that the employee is",['When'],position held,['the'],"['of', ['in']]",When,the,of  in
84,0,https://migri.fi/en/instructions-for-employers-on-filling-in-the-terms-of-employment,The required qualifications and the methods for demonstrating them vary according to the work or profession.,['The'],subclass of,"['the', 'methods']","['of', ['and']]",The,the  methods,of  and
85,0,https://migri.fi/en/for-employers-of-seasonal-workers,Seasonal workers may only work for the employers whose names have been marked on their seasonal work permit.,[],instance of,"['work', 'permit.']","['of', ['employers']]",,work  permit.,of  employers
86,0,https://migri.fi/en/for-employers-of-seasonal-workers,An example: An applicant applies for a certificate for seasonal work.,['work.'],instance of,"['for', 'a']","['series ordinal', []]",work.,for  a,series ordinal  
87,0,https://migri.fi/en/for-employers-of-seasonal-workers,The applicant has already had a residence permit for seasonal work between 13 May 2021 and 13 October 2021.,"['applicant', 'has']",located in the administrative territorial entity,['seasonal'],"['start time', ['2021', 'and', '13']]",applicant  has,seasonal,start time  2021  and  13
88,0,https://migri.fi/en/for-employers-of-seasonal-workers,"In this case, the 12-month period is 13 June 2021–12 June 2022, which covers a 12-month period that precedes the date when the new employment ends.","['12-month', 'period']",country,[],"['start time', ['ends.']]",12-month  period,,start time  ends.
89,0,https://migri.fi/en/for-employers-of-seasonal-workers,The salary must comply with the collective agreement that is valid when the employee works in the company.,['salary'],subclass of,"['collective', 'agreement']","['of', ['company.']]",salary,collective  agreement,of  company.
90,0,https://migri.fi/en/for-employers-of-seasonal-workers,The salary must comply with the collective agreement that is valid when the employee works in the company.,['salary'],subclass of,['agreement'],"['of', ['employee']]",salary,agreement,of  employee
91,0,https://migri.fi/en/instructions-for-supplementing-the-terms-of-employment,Company email: Fill in the address where we can send requests for additional information to the employer by email.,"['Company', 'email:']",subclass of,['employer'],"['of', ['email.']]",Company  email:,employer,of  email.
92,0,https://migri.fi/en/instructions-for-supplementing-the-terms-of-employment,"If the basis for determining the salary is a piece rate, the supplement form must indicate the amount of the hourly salary in euros that is used as the basis for determining the piece rate.","['supplement', 'form']",subclass of,['salary'],"['of', ['euros']]",supplement  form,salary,of  euros
93,0,https://migri.fi/en/instructions-for-supplementing-the-terms-of-employment,Check the taxable value of the fringe benefits on the Finnish Tax Administration's website.,"['fringe', 'benefits']",instance of,"['taxable', 'value']","['of', ['Finnish']]",fringe  benefits,taxable  value,of  Finnish
94,0,https://migri.fi/en/instructions-for-supplementing-the-terms-of-employment,Check the taxable value of the fringe benefits on the Finnish Tax Administration's website.,"['fringe', 'benefits']",instance of,['Tax'],"['of', ['Finnish']]",fringe  benefits,Tax,of  Finnish
95,0,https://migri.fi/en/instructions-for-supplementing-the-terms-of-employment,"Temporary agency work: If the work is temporary agency work, fill in the details of the user company.",['Temporary'],subclass of,['agency'],"['of', ['temporary']]",Temporary,agency,of  temporary
96,0,https://migri.fi/en/instructions-for-supplementing-the-terms-of-employment,"Temporary agency work: If the work is temporary agency work, fill in the details of the user company.",['work:'],subclass of,['agency'],"['of', ['temporary']]",work:,agency,of  temporary
97,0,https://migri.fi/en/certified-employers,It speeds up the processing of an application for a residence permit for an employed person.,['It'],instance of,"['residence', 'permit']","['of', ['employed']]",It,residence  permit,of  employed
98,0,https://migri.fi/en/visiting-finland,"Similarly, no visa is required if you are a citizen of a visa-free country and you have a valid passport or a comparable travel document.",['if'],country,['of'],"['series ordinal', ['is']]",if,of,series ordinal  is
99,0,https://migri.fi/en/visiting-finland,The Ministry for Foreign Affairs is responsible for visas,['Affairs'],headquarters location,['visas'],"['start time', []]",Affairs,visas,start time  
100,0,https://migri.fi/en/seeking-work-after-graduation-or-completion-of-research,"You can apply for a residence permit on the basis of a degree completed in Finland or research work completed in Finland, if",['You'],instance of,"['residence', 'permit']","['of', ['Finland']]",You,residence  permit,of  Finland
101,0,https://migri.fi/en/working-in-finland/income-requirement,The training agreement signed by you and the organisation responsible for the training programme must state how you intend to finance your stay in Finland during the traineeship.,['agreement'],subclass of,"['for', 'the']","['series ordinal', ['programme']]",agreement,for  the,series ordinal  programme
102,0,https://migri.fi/en/working-in-finland/income-requirement,"For more information about the taxable values of fringe benefits, see the website of the Finnish Tax Administration (vero.fi).","['fringe', 'benefits,']",instance of,['taxable'],"['of', ['Finnish']]",fringe  benefits ,taxable,of  Finnish
103,0,https://migri.fi/en/working-in-finland/income-requirement,"For more information about the taxable values of fringe benefits, see the website of the Finnish Tax Administration (vero.fi).","['fringe', 'benefits,']",instance of,"['Tax', 'Administration']","['of', ['Finnish']]",fringe  benefits ,Tax  Administration,of  Finnish
104,0,https://migri.fi/en/studying-in-finland,"Acceptable reasons can be further studies to supplement vocational skills or degrees already acquired, further training relating to work done in the country of departure, or special training available in Finland (for example training provided within the framework of education export).","['education', 'export).']",subclass of,['training'],"['of', ['Finland']]",education  export).,training,of  Finland
105,0,https://migri.fi/en/studying-in-finland,"If you come to Finland to study for some other degree, you can be granted a temporary residence permit (a B permit).","['B', 'permit).']",instance of,"['temporary', 'residence', 'permit']","['of', ['Finland']]",B  permit).,temporary  residence  permit,of  Finland
106,0,https://migri.fi/en/studying-in-finland,You must have sufficient funds for living in Finland during the entire period of validity of your residence permit.,['You'],instance of,"['residence', 'permit.']","['of', ['Finland']]",You,residence  permit.,of  Finland
107,0,https://migri.fi/en/studying-in-finland,"As a student, you must personally cover the costs if you become ill in Finland.",['you'],subclass of,"['student,']","['of', ['Finland.']]",you,student ,of  Finland.
108,0,https://migri.fi/en/studying-in-finland,"If your residence permit was granted before the legislative amendments that entered into force on 15 April 2022, you have the same right to work as those who have a new residence permit.",['have'],part of,"['the', 'same', 'right']","['start time', ['who']]",have,the  same  right,start time  who
109,0,https://migri.fi/en/studying-in-finland,"With a D visa, you can arrive in Finland during a time period of 100 days before the residence permit becomes valid.","['D', 'visa,']",instance of,"['residence', 'permit']","['of', ['Finland']]",D  visa ,residence  permit,of  Finland
110,0,https://migri.fi/en/residence-permit-application-for-studies,The video will show you how to apply for a student’s residence permit in Finland.,['student’s'],subclass of,"['residence', 'permit']","['of', ['Finland.']]",student’s,residence  permit,of  Finland.
111,0,https://migri.fi/en/residence-permit-application-for-studies,"If you are under 18 years of age, you should also attach to your application",['under'],place of birth,['should'],"['subject has role', ['are']]",under,should,subject has role  are
112,0,https://migri.fi/en/residence-permit-application-for-studies,If you are coming to Finland to pursue,['If'],educated at,['pursue'],"['country', ['to']]",If,pursue,country  to
113,0,https://migri.fi/en/residence-permit-application-for-studies,"If your studies do not lead to a higher education degree, you cannot get an A permit.",['lead'],residence,[],"['start time', ['your', 'studies', 'do', 'not']]",lead,,start time  your  studies  do  not
114,0,https://migri.fi/en/moving-to-finland-as-a-researcher,"You will need a residence permit for a researcher if you are coming to Finland in order to conduct research, study for a licentiate degree or prepare a doctoral dissertation.",['licentiate'],subclass of,"['residence', 'permit']","['of', ['Finland']]",licentiate,residence  permit,of  Finland
115,0,https://migri.fi/en/researcher,"In that case, you should ask the competent authorities of the second EU Member State if you need to submit a mobility notification.","['mobility', 'notification.']",instance of,['competent'],"['of', ['EU']]",mobility  notification.,competent,of  EU
116,0,https://migri.fi/en/instructions-for-scientific-researchers,The entire process may take several months.,['The'],part of,[],"['series ordinal', []]",The,,series ordinal  
117,0,https://migri.fi/en/moving-to-finland-to-be-with-a-family-member,"In Finland, a person you are dating is not considered to be your family member.","['you', 'are', 'dating']",subclass of,"['family', 'member.']","['of', ['Finland,']]",you  are  dating,family  member.,of  Finland 
118,0,https://migri.fi/en/moving-to-finland-to-be-with-a-family-member,"In Finland, a person you are dating is not considered to be your family member.",['are'],subclass of,['dating'],"['of', ['Finland,']]",are,dating,of  Finland 
119,0,https://migri.fi/en/moving-to-finland-to-be-with-a-family-member,"However, the person you are dating may get a residence permit on other grounds.",['are'],subclass of,['residence'],"['of', ['person']]",are,residence,of  person
120,0,https://migri.fi/en/moving-to-finland-to-be-with-a-family-member,"When your spouse has submitted his or her application, you will receive an email containing a fast track ID number that you should add to your application.","['fast', 'track']",subclass of,['spouse'],"['of', ['email']]",fast  track,spouse,of  email
121,0,https://migri.fi/en/moving-to-finland-to-be-with-a-family-member,You must submit your application within two days after your spouse submits his or her application.,['You'],subclass of,['spouse'],"['end time', ['two']]",You,spouse,end time  two
122,0,https://migri.fi/en/moving-to-finland-to-be-with-a-family-member,"If you have made a residence permit application on behalf of a child, you must bring the child with you to the Finnish mission or the service point of the Finnish Immigration Service.","['Finnish', 'mission']",subclass of,"['residence', 'permit']","['of', ['Finnish', 'Immigration', 'Service.']]",Finnish  mission,residence  permit,of  Finnish  Immigration  Service.
123,0,https://migri.fi/en/my-spouse-is-in-finland,These pages contain information about how to apply for a residence permit if your spouse is in Finland:,['for'],subclass of,"['a', 'residence']","['of', ['in']]",for,a  residence,of  in
124,0,https://migri.fi/en/my-spouse-is-in-finland,You can also watch our webinar on applying for a residence permit on the basis of family ties.,['You'],instance of,"['residence', 'permit']","['of', ['family', 'ties.']]",You,residence  permit,of  family  ties.
125,0,https://migri.fi/en/spouse-in-finland-with-a-residence-permit,"Residence permit application based on family ties when your spouse has a residence permit in Finland, OLE PH1","['OLE', 'PH1']",instance of,"['residence', 'permit']","['of', ['Finland,']]",OLE  PH1,residence  permit,of  Finland 
126,0,https://migri.fi/en/spouse-in-finland-with-a-residence-permit,"Residence permit application based on family ties when your spouse has a residence permit in Finland, OLE PH1",['PH1'],instance of,['permit'],"['of', ['Finland,']]",PH1,permit,of  Finland 
