,Unnamed: 0,url,input_text,Entity1,Relationship,Entity2,Qualifiers,Entity1_cleaned,Entity2_cleaned,Qualifiers_cleaned
15,0,https://www.omnia.fi/en/development-and-cooperation/internationality-omnia,The network’s mission is to improve the quality of vocational education and training in Europe by developing joint mobility strategies and projects between member cities as well as on-the-job learning.,['network’s'],headquarters location,['vocational'],"['of', ['Europe']]",network’s,vocational,of  Europe
16,0,https://www.omnia.fi/en/services/visits-omnia," Visit fee is based on the number of visitors, duration, and program content.",['Visit'],subclass of,"['duration,', 'and']","['of', []]",Visit,duration   and,of  
17,0,https://www.omnia.fi/en/about-omnia/management-and-decision-making,"), Espoo Laura Malme (varapj.","['Laura', 'Malme']",located in the administrative territorial entity,['Espoo'],"['located in the administrative territorial entity', ['Espoo']]",Laura  Malme,Espoo,located in the administrative territorial entity  Espoo
18,0,https://www.omnia.fi/en/about-omnia/management-and-decision-making," General Director’s Assistant, secretary of the executive group and board.",[],part of,['of'],"['of', []]",,of,of  
19,0,https://www.omnia.fi/en/about-omnia/sustainable-future,Our responsibility work is supported by the roadmap for a sustainable future (mediapankki.omnia.fi).,['(mediapankki.omnia.fi).'],subclass of,[],"['of', []]",(mediapankki.omnia.fi).,,of  
20,0,https://www.omnia.fi/en/about-omnia/sustainable-future,Our responsibility work is supported by the roadmap for a sustainable future (mediapankki.omnia.fi).,[],subclass of,[],"['of', []]",,,of  
21,0,https://www.omnia.fi/en/about-omnia/sustainable-future,"When building the environmental system, we have drawn up an environmental program that includes concrete goals to reduce our environmental impact.","['environmental', 'system,']",subclass of,['environmental'],"['of', ['environmental', 'impact.']]",environmental  system ,environmental,of  environmental  impact.
22,0,https://www.omnia.fi/en/about-omnia/contact-information-and-campuses/itatuulenpiha-1-tapiola,"For students, the Itätuulenpiha location offers newly renovated classrooms and study spaces, student welfare services and a student affairs office.",['affairs'],subclass of,[],"['of', []]",affairs,,of  
23,0,https://www.omnia.fi/en/about-omnia/contact-information-and-campuses/komentajankatu-5-leppavaara," The Komentajankatu campus is located in Leppävaara, Espoo, with good transport connections.",['Komentajankatu'],headquarters location,"['Leppävaara,']","['located in the administrative territorial entity', ['Espoo,']]",Komentajankatu,Leppävaara ,located in the administrative territorial entity  Espoo 
24,0,https://www.omnia.fi/en/about-omnia/contact-information-and-campuses/kuunkehra-2-olari,There are 16 classrooms available for teaching purposes.,['There'],instance of,['teaching'],"['quantity', ['16']]",There,teaching,quantity  16
25,0,https://www.omnia.fi/en/about-omnia/contact-information-and-campuses/kuunkehra-2-olari,There are 16 classrooms available for teaching purposes.,['classrooms'],part of,['teaching'],"['quantity', ['16']]",classrooms,teaching,quantity  16
26,0,https://www.omnia.fi/en/about-omnia/contact-information-and-campuses/kuusiniemi-10-viherlaakso," The Kuusiniemi campus is located in Viherlaakso, Espoo.",['Kuusiniemi'],headquarters location,"['Viherlaakso,']","['located in the administrative territorial entity', ['Espoo.']]",Kuusiniemi,Viherlaakso ,located in the administrative territorial entity  Espoo.
27,0,https://www.omnia.fi/en/about-omnia/contact-information-and-campuses/lakelankatu-1-espoon-keskus,"In addition, the campus has Fridan tori a bakery and delicatessen shop that sells treats made by Lakelankatu’s teaching kitchen and the cooking, baking and confectionary students.",['Fridan'],part of,['Lakelankatu’s'],"['applies to part', ['bakery']]",Fridan,Lakelankatu’s,applies to part  bakery
28,0,https://www.omnia.fi/en/about-omnia/contact-information-and-campuses/upseerinkatu-1-3-leppavaara," Entrance is through the inner courtyard, from the staircase of Building B. Upseerinkatu 3 is home to the Preparatory Education for upper secondary qualification – TUVA and Omnia's Competence Center (OSKE) courses.",['Upseerinkatu'],part of,['TUVA'],"['series ordinal', ['3']]",Upseerinkatu,TUVA,series ordinal  3
29,0,https://www.omnia.fi/en/services/library," The library is a peaceful learning environment where you can study, borrow material, get help with information retrieval problems and use online materials.",['library'],subclass of,['learning'],"['of', ['information']]",library,learning,of  information
30,0,https://www.omnia.fi/en/information-about-site,A cookie is a small text file that is temporarily stored on the user’s computer when they visit a website.,['cookie'],subclass of,"['text', 'file']","['of', ['website.']]",cookie,text  file,of  website.
31,0,https://www.omnia.fi/en/information-about-site,Permanent cookies are used so that the site remembers the choices made by the user on the site.,['cookies'],part of,['user'],"['end time', ['by']]",cookies,user,end time  by
32,0,https://www.omnia.fi/en/accessibility-statement,"Name, role, value].Preparation of this statementThe current accessibility statement was prepared on December 12th, 2023 based on the self-assessment of the website's accessibility and the evaluation conducted by Wunder Oy in May 2021.","['Wunder', 'Oy']",significant event,['accessibility'],"['point in time', ['December', '12th,', '2023']]",Wunder  Oy,accessibility,point in time  December  12th   2023
33,0,https://www.omnia.fi/en/projects/basic-set,"Due to the lack of printed training material, the project’s other aim is to create a teacher-friendly and course-based hyperlink library, where existing e-learning materials are gathered on the same platform.",['hyperlink'],subclass of,['course-based'],"['of', ['e-learning']]",hyperlink,course-based,of  e-learning
34,0,https://www.omnia.fi/en/projects/basic-set,"Due to the lack of printed training material, the project’s other aim is to create a teacher-friendly and course-based hyperlink library, where existing e-learning materials are gathered on the same platform.",['hyperlink'],subclass of,"['library,']","['of', ['e-learning']]",hyperlink,library ,of  e-learning
35,0,https://www.omnia.fi/en/projects/abc-running-errand-digitally,"After piloting and developing, the project created a description of the ABC E-service operating model, which is disseminated as a national operating model.",['E-service'],instance of,['model.'],"['of', ['national']]",E-service,model.,of  national
36,0,https://www.omnia.fi/en/projects/appropriate-skills-students, Project description The aim of the project is to develop an open badge model for the national use in Finland.,"['Project', 'description']",subclass of,"['badge', 'model']","['of', ['Finland.']]",Project  description,badge  model,of  Finland.
37,0,https://www.omnia.fi/en/projects/appropriate-skills-students, Project description The aim of the project is to develop an open badge model for the national use in Finland.,['open'],subclass of,"['badge', 'model']","['of', ['Finland.']]",open,badge  model,of  Finland.
38,0,https://www.omnia.fi/en/projects/auto-cove-20,"In addition to them, two pathway study modules: about mathematics and physics, will be developed to ease secondary level technical students transition to the tertiary level studies.","['will', 'be']",subclass of,"['students', 'transition']","['of', []]",will  be,students  transition,of  
39,0,https://www.omnia.fi/en/blogs/omnia-became-turning-point-hayder-yass-professional-career,He is my first supporter to study in university of applied sciences.,['He'],part of,['my'],"['series ordinal', ['first']]",He,my,series ordinal  first
40,0,https://www.omnia.fi/en/blogs/omnia-became-turning-point-hayder-yass-professional-career,"Hayder Yas serves the clients of his accounting company in Finnish, English, Arabic, Kurdish and Turkish.","['Hayder', 'Yas']",subclass of,['accounting'],"['country', ['Finnish,']]",Hayder  Yas,accounting,country  Finnish 
41,0,https://www.omnia.fi/en/news/sustexedu-project-seeks-solutions-sustainable-development-textile-industry,"Speaking at the closing event, Research Manager Tarja Lang from Omnia highlighted that according to an EU survey, only 13 percent of the workforce in the sector possesses adequate skills to develop the industry towards more sustainable practices in line with EU objectives.","['Tarja', 'Lang']",employer,['Omnia'],"['position held', ['Research', 'Manager']]",Tarja  Lang,Omnia,position held  Research  Manager
42,0,https://www.omnia.fi/en/news/sustexedu-project-seeks-solutions-sustainable-development-textile-industry,A challenge in identifying these studies lies in the internationally varying practices regarding the quality requirements and recognition of education.,['in'],instance of,['internationally'],"['of', ['regarding']]",in,internationally,of  regarding
43,0,https://www.omnia.fi/en/news/espoo-adult-education-centre-newsletter-132024," Come meet the staff of Espoo Adult Education Centre at Hello Espoo on March 7, 2024.Do you want to know more about the services and activities provided by the City of Espoo and organisations in the area?",['Espoo'],located in the administrative territorial entity,['Espoo'],"['start time', ['March', '7,', '2024.Do']]",Espoo,Espoo,start time  March  7   2024.Do
44,0,https://www.omnia.fi/en/news/espoo-adult-education-centre-newsletter-132024,"The proficiency test in English takes place on Saturday, 23rd of March 2024, and we arranged the test at Omnia in Tapiola.",['Tapiola.'],significant event,"['proficiency', 'test']","['point in time', ['Saturday,', '23rd', 'of', 'March', '2024,']]",Tapiola.,proficiency  test,point in time  Saturday   23rd  of  March  2024 
45,0,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications/vocational-qualifications-english,"Completing a degree in English will help you develop your language skills and enable you to apply for postgraduate study at university.Generally, only applicants residing in Finland can be admitted to Omnia's vocational education and TUVA training.","[""Omnia's""]",part of,['TUVA'],"['country', ['Finland']]","""Omnias""",TUVA,country  Finland
46,0,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications/vocational-qualifications-english,"Written language tests can be completed only at Omnia campuses in Espoo, Finland.",['Omnia'],headquarters location,"['Espoo,']","['country', ['Finland.']]",Omnia,Espoo ,country  Finland.
47,0,https://www.omnia.fi/en/educations/software-developer," As a software developer, you will learn to program, utilise interfaces, process data in databases and use version control.",['control.'],subclass of,"['software', 'developer,']","['of', ['databases']]",control.,software  developer ,of  databases
48,0,https://www.omnia.fi/en/educations/software-developer," Vocational qualifications in English are appropriate for those, who wish to study in English.",['English'],subclass of,['Vocational'],"['of', ['English.']]",English,Vocational,of  English.
49,0,https://www.omnia.fi/en/study-options/upper-secondary-vocational-qualifications/assessment-language-skills-vocational-qualification,* YKI certificate with all four areas on at least level 3.,['*'],part of,['YKI'],"['series ordinal', ['3.']]",*,YKI,series ordinal  3.
50,0,https://www.omnia.fi/en/educations/merkonomi-english," You will learn customer service, productive operations and how to operate in a work community.",['You'],part of,"['work', 'community.']","['subject has role', ['customer', 'service,']]",You,work  community.,subject has role  customer  service 
51,0,https://www.omnia.fi/en/educations/site-facilities-operative,Guidance discussions for English qualifications You will be invited to a personal guidance discussion if you have achieved the required language level for English.,['personal'],shares border with,['achieved'],"['end time', []]",personal,achieved,end time  
52,0,https://www.omnia.fi/en/educations/site-facilities-operative-education,Assessment of language proficiency The language requirement for English is B1.,"['language', 'proficiency']",subclass of,"['language', 'requirement']","['of', ['English']]",language  proficiency,language  requirement,of  English
53,0,https://www.omnia.fi/en/educations/site-facilities-operative-education,"The language test can be completed only at Omnia campuses in Espoo, Finland.",['Omnia'],headquarters location,"['Espoo,']","['country', ['Finland.']]",Omnia,Espoo ,country  Finland.
54,0,https://www.omnia.fi/en/educations/restaurant-cook,"You will get to taste the dishes you have prepared, and your sense of taste will develop in the course of your studies.",['You'],subclass of,['dishes'],"['of', ['have']]",You,dishes,of  have
55,0,https://www.omnia.fi/en/educations/restaurant-cook,Enquiries regarding application: haku@omnia.fi Language requirements The language requirement is B1 for English.,['haku@omnia.fi'],instance of,['Language'],"['of', ['English.']]",haku@omnia.fi,Language,of  English.
56,0,https://www.omnia.fi/en/educations/bartender-training,The training will help you strengthen and increase your competence in running bar operations profitably and in compliance with the legislation in the field.,[],instance of,['field.'],"['series ordinal', []]",,field.,series ordinal  
57,0,https://www.omnia.fi/en/educations/bartender-training,Read more about the composition of the qualification (opintopolku.fi).,"['the', 'qualification']",subclass of,[],"['of', []]",the  qualification,,of  
58,0,https://www.omnia.fi/en/educations/bartender-training,"During your studies, you need a job or practical training position where you can complete work tasks connected to the education.",['or'],subclass of,"['you', 'need']","['of', ['to', 'the']]",or,you  need,of  to  the
59,0,https://www.omnia.fi/en/educations/bartender-training,"During your studies, you need a job or practical training position where you can complete work tasks connected to the education.",['or'],subclass of,['you'],"['of', ['to', 'the']]",or,you,of  to  the
60,0,https://www.omnia.fi/en/educations/bartender-training,I have learned so many things and met many good people.,"['many', 'good']",instance of,['things'],"['of', []]",many  good,things,of  
61,0,https://www.omnia.fi/en/educations/bartender-training,I have learned so many things and met many good people.,"['many', 'good']",instance of,[],"['of', []]",many  good,,of  
62,0,https://www.omnia.fi/en/educations/bartender-training,I have learned so many things and met many good people.,"['many', 'good']",instance of,[],"['of', []]",many  good,,of  
63,0,https://www.omnia.fi/en/educations/bartender-training,Enquiries regarding application: haku@omnia.fi Assessment of language proficiency The language requirement for English is B1.,['haku@omnia.fi'],instance of,['language'],"['of', ['English']]",haku@omnia.fi,language,of  English
64,0,https://www.omnia.fi/en/projects/kotoma-2," Project description KOTOMA2 (Home 2), i.e.",['KOTOMA2'],instance of,"['Project', 'description']","['series ordinal', ['2),']]",KOTOMA2,Project  description,series ordinal  2) 
65,0,https://www.omnia.fi/en/projects/manu8-training-young-immigrants,"Trainings consist of Finnish language, study and communication skills, civics, working life studies, student counseling and services of a school social worker.",['Finnish'],subclass of,['social'],"['of', ['civics,']]",Finnish,social,of  civics 
66,0,https://www.omnia.fi/en/projects/manu8-training-young-immigrants,Secondarily for 20- to 29-year-old immigrants belonging to the Finnish youth guarantee target group.,"['youth', 'guarantee']",subclass of,"['target', 'group.']","['of', ['Finnish']]",youth  guarantee,target  group.,of  Finnish
67,0,https://www.omnia.fi/en/projects/manu8-training-young-immigrants,Duration of the project 01.09.2020–31.08.2021 Project manager Vaula Paunila Funding Finnish National Agency for Education,"['Vaula', 'Paunila']",country,['Finnish'],"['start time', ['01.09.2020–31.08.2021']]",Vaula  Paunila,Finnish,start time  01.09.2020–31.08.2021
68,0,https://www.omnia.fi/en/projects/responsible-global-agents,"Furthermore, it supports continuous improvement and quality of actions as well as cooperation with working life and working life-oriented approach that are an important part of VET institutions’ strategy.","['as', 'cooperation']",instance of,['continuous'],"['of', ['well']]",as  cooperation,continuous,of  well
69,0,https://www.omnia.fi/en/blogs/taitaja2023-was-enjoyable-experience-janos-hidvegi,"Janos Hidvegi works in web development for a Hungarian bank, and his long-term goal is to set up his own company, which specializes in web development.",['Janos'],country of citizenship,['Hungarian'],"['academic major', ['development']]",Janos,Hungarian,academic major  development
70,0,https://www.omnia.fi/en/blogs/taitaja2023-was-enjoyable-experience-janos-hidvegi,Intensive practicing Hidvegi won last year's national finals in the Hungarian Championship for vocational skills.,['Hidvegi'],part of,"['Hungarian', 'Championship']","['start time', [""year's""]]",Hidvegi,Hungarian  Championship,"start time  ""years"""
71,0,https://www.omnia.fi/en/blogs/taitaja2023-was-enjoyable-experience-janos-hidvegi,"I have also enjoyed creating and building things, and web development is something which allows you to do it with the use of a laptop only.” Good experience Participation in Taitaja2023 Espoo has been Hidvegi’s first time in Finland, and he describes it as an enjoyable experience.",['Taitaja2023'],location,['Espoo'],"['country', ['Finland,']]",Taitaja2023,Espoo,country  Finland 
72,0,https://www.omnia.fi/en/blogs/taitaja2023-was-enjoyable-experience-janos-hidvegi,Sisak has a long experience in vocational skills competitions and has been working in them since 2007.,['Sisak'],headquarters location,['skills'],"['start time', ['2007.']]",Sisak,skills,start time  2007.
73,0,https://www.omnia.fi/en/blogs/taitaja2023-was-enjoyable-experience-janos-hidvegi,Sisak has a long experience in vocational skills competitions and has been working in them since 2007.,['Sisak'],part of,['them'],"['start time', ['2007.']]",Sisak,them,start time  2007.
74,0,https://www.omnia.fi/en/blogs/taitaja2023-was-enjoyable-experience-janos-hidvegi,Sisak also visited the Finnish competition for the first time.,['Sisak'],part of,"['Finnish', 'competition']","['series ordinal', ['first']]",Sisak,Finnish  competition,series ordinal  first
75,0,https://www.omnia.fi/en/blogs/education-makes-you-professional-waiter-cosmas-kimutai-loves-restaurant-business-and-finnish," “Back in Kenya, I worked in a catering company.",['“Back'],position held,['catering'],"['of', ['Kenya,']]",“Back,catering,of  Kenya 
76,0,https://www.omnia.fi/en/blogs/education-makes-you-professional-waiter-cosmas-kimutai-loves-restaurant-business-and-finnish,"He admires the Finnish education system, where studies are based on practice and real work situations.",['He'],subclass of,"['education', 'system,']","['of', ['Finnish']]",He,education  system ,of  Finnish
77,0,https://www.omnia.fi/en/educations/full-stack-web-development," You can apply to this recruiting training program if you are currently unemployed or facing the prospect of unemployment, and your job search is active at TE-Services or local government pilot in Finland.",['TE-Services'],instance of,"['local', 'government']","['country', ['Finland.']]",TE-Services,local  government,country  Finland.
78,0,https://www.omnia.fi/en/educations/preparatory-education-upper-secondary-qualification-tuva,You can also study for a shorter period of time if you receive a study place from an upper secondary school or vocational education.,['place'],subclass of,"['upper', 'secondary']","['of', ['vocational']]",place,upper  secondary,of  vocational
79,0,https://www.omnia.fi/en/educations/preparatory-education-upper-secondary-qualification-tuva,"Students who speak a language other than Finnish, Swedish or Sámi as their native language.","['Finnish,']",instance of,['language.'],"['of', ['Sámi']]",Finnish ,language.,of  Sámi
80,0,https://www.omnia.fi/en/educations/preparatory-education-upper-secondary-qualification-tuva, Joint application system You can apply to TUVA in the spring joint application system.,"['spring', 'joint', 'application', 'system.']",subclass of,"['application', 'system']","['of', ['TUVA']]",spring  joint  application  system.,application  system,of  TUVA
81,0,https://www.omnia.fi/en/educations/basic-adult-education,"In Omnia’s basic education for adults, you can complete studies of the literacy phase, the initial phase and the final phase.",['Omnia’s'],subclass of,['education'],"['of', ['adults,']]",Omnia’s,education,of  adults 
82,0,https://www.omnia.fi/en/educations/basic-adult-education,"In addition, Finnish-speaking applicants are invited to an interview with a study counsellor.",['study'],subclass of,['with'],"['series ordinal', ['counsellor.']]",study,with,series ordinal  counsellor.
83,0,https://www.omnia.fi/en/educations/audiovisual-workshop," In the Audiovisual Workshop you can learn and try different audio, video and music related tasks with the help of professionals.",['Audiovisual'],subclass of,"['audio,']","['of', ['music']]",Audiovisual,audio ,of  music
84,0,https://www.omnia.fi/en/news/student-newsletter-omnis-12024," The original date of the recruitment fair was postponed until the 15th of February.At the event, Omnia's students can get to know companies in different fields and open apprenticeship and training contract positions.","[""Omnia's""]",headquarters location,['apprenticeship'],"['start time', ['the', '15th', 'of', 'February.At']]","""Omnias""",apprenticeship,start time  the  15th  of  February.At
85,0,https://www.omnia.fi/en/news/student-newsletter-omnis-12024,Building and maintaing a compost (lecture online in Finnish),['compost'],instance of,['online'],"['of', ['Finnish)']]",compost,online,of  Finnish)
86,0,https://www.omnia.fi/en/blogs/genoese-students-visit-omnia-10-19-september-2023," Now for the second time, Omnia hosted a group of Genoese students this autumn.",['Omnia'],country,['Genoese'],"['series ordinal', ['second']]",Omnia,Genoese,series ordinal  second
87,0,https://www.omnia.fi/en/blogs/genoese-students-visit-omnia-10-19-september-2023,The first group from Omnia will go to Genoa in the spring and winter of 2024.,['Omnia'],headquarters location,['Genoa'],"['start time', ['2024.']]",Omnia,Genoa,start time  2024.
88,0,https://www.omnia.fi/en/blogs/genoese-students-visit-omnia-10-19-september-2023,"Relaxed school life and friendly people The group visited the Helsinki Design Museum, Ateneum, Helina Rautavaara Museum and Fazerila.",['Relaxed'],instance of,"['people', 'The']","['of', ['Rautavaara']]",Relaxed,people  The,of  Rautavaara
89,0,https://www.omnia.fi/en/blogs/studying-rya-rug-weaving-omnia-espoo-adult-education-centre,"The rya rug has been called the unofficial national textile of Finland, but because very few of the Finnish immigrants wove them after coming to America, most people where I live have never heard of them.","['rya', 'rug']",subclass of,"['national', 'textile']","['of', ['Finland,']]",rya  rug,national  textile,of  Finland 
90,0,https://www.omnia.fi/en/blogs/studying-rya-rug-weaving-omnia-espoo-adult-education-centre," My journey to Finland At the start of August I arrived in Tapiola to begin my studies at Omnia, Espoo Adult Education Centre, using a Finnish-made Toika loom generously lent to me by the Weaving Studio.","['Omnia,', 'Espoo']",headquarters location,['Tapiola'],"['country', ['Finland']]",Omnia   Espoo,Tapiola,country  Finland
91,0,https://www.omnia.fi/en/blogs/studying-rya-rug-weaving-omnia-espoo-adult-education-centre,"During my time at Omnia, I wove a total of three ryas - I tied a lot of knots in a short amount of time!",['ryas'],part of,"['Omnia,']","['quantity', ['three']]",ryas,Omnia ,quantity  three
92,0,https://www.omnia.fi/en/blogs/job-shadowing-omnia-espoo-adult-education-centre,"I had the chance to do a job shadowing at Omnia, Espoo Adult Education Centre in February 2023 by means of a programme called “Professional stays” organised by the Ministry of Education in Spain.","['Omnia,']",headquarters location,['Espoo'],"['start time', ['February', '2023']]",Omnia ,Espoo,start time  February  2023
93,0,https://www.omnia.fi/en/blogs/job-shadowing-omnia-espoo-adult-education-centre,"I managed to get in touch with Saara Patoluoto, Adult Education Coordinator at Omnia with whom I devised an agenda of activities to carry out.","['Saara', 'Patoluoto,']",occupation,"['Adult', 'Education', 'Coordinator']","['of', ['Omnia']]",Saara  Patoluoto ,Adult  Education  Coordinator,of  Omnia
94,0,https://www.omnia.fi/en/blogs/job-shadowing-omnia-espoo-adult-education-centre,Another aspect that has amazed me is the importance of the compatibility of family duties and work or studies / family conciliation in Finland.,['family'],subclass of,['family'],"['of', ['Finland.']]",family,family,of  Finland.
95,0,https://www.omnia.fi/en/blogs/job-shadowing-omnia-espoo-adult-education-centre,It has allowed me to learn about the functioning of an adult educational institution in Finland with a profile very similar to the centre where I work and the possibility of establishing collaboration ties for possible educational projects in the future.,['It'],instance of,"['adult', 'educational', 'institution']","['of', ['Finland']]",It,adult  educational  institution,of  Finland
96,0,https://www.omnia.fi/en/blogs/canadian-weaver-finland,"This was the first time that a weaver has set up shop in the studio as part of the Québec-Finland residency exchange program, since it began in 1997.",['Québec-Finland'],part of,"['residency', 'exchange', 'program,']","['start time', ['1997.']]",Québec-Finland,residency  exchange  program ,start time  1997.
97,0,https://www.omnia.fi/en/blogs/entrepreneurial-education-encourages-jenna-hallikainen-move-forward,"As an entrepreneur, Jenna has already gone through the wringer.",['Jenna'],place of birth,['wringer.'],"['subject has role', ['entrepreneur,']]",Jenna,wringer.,subject has role  entrepreneur 
98,0,https://www.omnia.fi/en/blogs/entrepreneurial-education-encourages-jenna-hallikainen-move-forward,She took part in Junior Achievement Finland’s Uskalla Yrittää competition.,['She'],educated at,['Uskalla'],"['country', ['Finland’s']]",She,Uskalla,country  Finland’s
99,0,https://www.omnia.fi/en/blogs/entrepreneurial-education-encourages-jenna-hallikainen-move-forward,"At the end of April, Jenna presented her company among the 50 NY entrepreneurs in the Mall of Tripla.",['Jenna'],residence,['Tripla.'],"['start time', ['the', 'end', 'of', 'April,']]",Jenna,Tripla.,start time  the  end  of  April 
100,0,https://www.omnia.fi/en/blogs/entrepreneurial-education-encourages-jenna-hallikainen-move-forward,The entrepreneurial education programme of Junior Achievement Finland is a learning experience that goes through the entire life cycle of a company.,"['Junior', 'Achievement']",subclass of,"['entrepreneurial', 'education']","['of', ['Finland']]",Junior  Achievement,entrepreneurial  education,of  Finland
101,0,https://www.omnia.fi/en/blogs/entrepreneurial-education-encourages-jenna-hallikainen-move-forward,"Virpi Utriainen, CEO of EnterpriseEspoo, says that studies show that the NY operations are profitable.","['Virpi', 'Utriainen,']",position held,['CEO'],"['of', ['EnterpriseEspoo,']]",Virpi  Utriainen ,CEO,of  EnterpriseEspoo 
102,0,https://www.omnia.fi/en/blogs/entrepreneurial-education-encourages-jenna-hallikainen-move-forward,"It is a good, practical and long-lasting learning experience for young people and it truly promotes entrepreneurship.",['It'],subclass of,"['learning', 'experience']","['of', ['young']]",It,learning  experience,of  young
103,0,https://www.omnia.fi/en/blogs/entrepreneurial-education-encourages-jenna-hallikainen-move-forward,"Virpi, who previously worked as the CEO of Junior Achievement Finland, started working at EnterpriseEspoo in March.","['Virpi,']",position held,['CEO'],"['of', ['Junior', 'Achievement', 'Finland,']]",Virpi ,CEO,of  Junior  Achievement  Finland 
104,0,https://www.omnia.fi/en/blogs/olena-byelousova-aims-work-it-sector-labour-market-training-provides-good-path-employment,New direction and new dreams Byelousova moved to Finland 12 years ago when her husband found work in IT.,['Byelousova'],country of citizenship,['Finland'],"['start time', ['12']]",Byelousova,Finland,start time  12
105,0,https://www.omnia.fi/en/blogs/olena-byelousova-aims-work-it-sector-labour-market-training-provides-good-path-employment,"She also runs a charity organisation, which sends clothes to a Ukrainian children’s home.",['She'],instance of,['charity'],"['of', ['Ukrainian']]",She,charity,of  Ukrainian
106,0,https://www.omnia.fi/en/blogs/olena-byelousova-aims-work-it-sector-labour-market-training-provides-good-path-employment,She had expressed her wishes to work in it and web programming was a good first step towards it.,['She'],part of,['programming'],"['series ordinal', ['first']]",She,programming,series ordinal  first
